"eBird.English.Name.2025","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10","currentslopelci11","currentslopemean11","currentsloperci11"
"Medium Egret",-1.68254630516856,-1.16449703574506,-0.646447766321563,-3.54986004565892,-2.32600702624822,-1.10215400683752,-3.43632152867282,-2.25822689438028,-1.08013226008774,-3.34756383362854,-2.17231093845884,-0.997058043289136,-3.2826945804722,-2.12942422799435,-0.976153875516492,-3.26734780832983,-2.0833174137777,-0.89928701922557,-3.28853722907288,-2.09681975481706,-0.905102280561234,-3.34132062187046,-2.14553657609233,-0.949752530314195,-3.38414234272564,-2.1447530240019,-0.905363705278166,-3.27535901918445,-1.98834376882595,-0.701328518467458,-3.62578763407425,-2.27914817244709,-0.93250871081994
"Gray Heron",-3.6031041993337,-1.05979240800601,1.48351938332167,-3.26343156777854,-0.965217798133274,1.33299597151199,-3.48551642849528,-1.20466595182063,1.07618452485403,-3.81215662534633,-1.50645738246372,0.799241860418894,-3.60249558387159,-1.64606385924596,0.310367865379674,-3.43036177982992,-1.47761041631007,0.475140947209769,-3.55769769658964,-1.38085648927339,0.795984718042868,-3.67444513767114,-1.3850466521401,0.90435183339094,-3.91108911139478,-1.54284472028429,0.825399670826199,-4.32763994316179,-2.13140764366895,0.0648246558238953,-4.4942051850747,-1.96859637569386,0.557012433686977
"Purple Heron",-1.95067421254775,-0.967551843624328,0.0155705252990954,-3.18531290733871,-1.81002432237492,-0.434735737411121,-3.08093872847553,-1.75438505305733,-0.427831377639131,-3.03879291383363,-1.94545980332523,-0.852126692816821,-3.02875023922314,-1.79498258144938,-0.561214923675627,-2.9531310741029,-1.74874504013189,-0.544359006160871,-3.02019606541386,-1.80280288690675,-0.585409708399632,-3.0535433022161,-1.75979877484886,-0.466054247481633,-2.94331629395166,-1.63684026560498,-0.330364237258293,-3.27317156677558,-1.9242579628245,-0.575344358873432,-3.39813990506375,-1.9653360774419,-0.532532249820056
"White-bellied Heron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goliath Heron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Great White Pelican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spot-billed Pelican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalmatian Pelican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osprey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black-winged Kite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bearded Vulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egyptian Vulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jerdon's Baza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black Baza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European Honey-buzzard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oriental Honey-buzzard",-6.42944883584332,-1.35549722425959,3.71845438732415,-5.87398552050828,-1.08676716617013,3.70045118816801,-5.26107559688575,-0.444073971788218,4.37292765330931,-4.89537569517245,-0.152571056802146,4.59023358156816,-3.54590591669668,0.2732935452512,4.09249300719909,-3.776878228982,-0.12219976122542,3.53247870653116,-4.84223434888643,-0.221997090867448,4.39824016715153,-4.948460056562,-0.212946612628224,4.52256683130555,-4.56714598757575,0.236855631976632,5.04085725152901,-4.53829647078651,0.43916764001527,5.41663175081705,-3.71406362049599,1.28558297764752,6.28522957579103
"Red-headed Vulture",-22911524.9645609,3.65333458174298,22911532.2712301,-19675821.8551343,2.28400753162065,19675826.4231494,-23684385.1646022,1.11732091177014,23684387.399244,-22590969.4443133,1.43848114551896,22590972.3212755,-19757938.1903945,1.11411757744999,19757940.4186297,-22022271.7674139,1.51377130365228,22022274.7949565,-22112265.5630642,1.3202776894383,22112268.2036196,-22679963.4130188,2.27229256456944,22679967.957604,-23214534.6894817,1.53511317761882,23214537.7597081,-23960281.0910167,-0.637601112965995,23960279.8158144,-24806620.6231951,1.13723999426972,24806622.8976751
"Cinereous Vulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Himalayan Griffon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White-rumped Vulture",-282416683.345518,7.37696686767779,282416698.099452,-265367622.362342,3.68626658900049,265367629.734875,-253108944.116422,3.06406833903425,253108950.244559,-219875771.635268,3.3827542547472,219875778.400776,-237872566.947192,3.20025926320237,237872573.347711,-210705439.025176,3.56367845544633,210705446.152533,-230560129.018497,3.62067873253193,230560136.259854,-236411598.635782,4.15710400810411,236411606.94999,-252610733.94808,3.99234685365508,252610741.932774,-256399511.123799,0.763860635121221,256399512.651521,-260562042.705238,2.69717296110294,260562048.099584
"Indian Vulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slender-billed Vulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Griffon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicobar Serpent-Eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crested Serpent-Eagle",1.27011324769479,2.26770277512555,3.2652923025563,0.461333475131119,1.50454017090304,2.54774686667495,0.640390898889387,1.73204837575097,2.82370585261255,0.851735450579895,1.86896621693103,2.88619698328217,0.756371053553217,1.71250447820792,2.66863790286262,0.736045019244637,1.77760860621512,2.8191721931856,0.714967087527681,1.76100796115403,2.80704883478037,0.697426291321154,1.76594537710106,2.83446446288097,0.952560667954811,1.96114344603677,2.96972622411873,0.462013789145858,1.47758972235133,2.49316565555679,0.549295499135716,1.75823023589574,2.96716497265577
"Andaman Serpent-Eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Short-toed Snake-Eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Legge's Hawk-Eagle",6.43941825980164,15.1487816285397,23.8581449972779,5.15212605507316,13.481776522842,21.8114269906108,5.74406651861429,13.7664400994296,21.7888136802449,6.18917595518863,13.9964356980708,21.803695440953,6.22742516756426,13.9257882712573,21.6241513749504,6.33020754143812,13.9256732382931,21.5211389351481,6.23076135510198,13.9226960020085,21.6146306489151,7.97144754255083,14.925932336313,21.8804171300752,7.7495061175284,15.2272212622135,22.7049364068987,5.37876879687952,10.1299754617454,14.8811821266113,6.15225230281361,14.8669634855185,23.5816746682234
"Mountain Hawk-Eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Changeable Hawk-Eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rufous-bellied Eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black Eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indian Spotted Eagle",-7.53554331707999,0.726268773868493,8.98808086481698,-8.61574736793328,-0.894338681285312,6.82707000536266,-8.85820250760331,-1.09673953471031,6.66472343818269,-9.27494033311989,-1.98611052606137,5.30271928099716,-8.89887925539072,-1.65034539705096,5.5981884612888,-8.80717509631858,-1.30656655888888,6.19404197854083,-8.01889265898939,-0.960496270311684,6.09790011836602,-9.14574734693719,-1.91682489780803,5.31209755132114,-8.74181010250915,-0.897392785933625,6.9470245306419,-10.5286649061322,-3.09810803082669,4.33244884447878,-9.69072633841179,-0.979767320556501,7.73119169729878
"Greater Spotted Eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Booted Eagle",1.92488524596285,5.67050539802385,9.41612555008484,4.34489040234109,8.91498624347978,13.4850820846185,4.25611486425464,8.6383695882283,13.020624312202,3.41091837898127,7.89971490221601,12.3885114254507,3.71033065390468,8.10986553659944,12.5094004192942,4.2112206547189,8.03541457922396,11.859608503729,4.20899370407266,8.29558352153789,12.3821733390031,3.5364596523149,8.05089193864874,12.5653242249826,3.60542578209112,8.21801390266983,12.8306020232485,2.95939484265702,7.75684124701888,12.5542876513808,3.45471909875091,8.5137403948531,13.5727616909553
"Steppe Eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Imperial Eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tawny Eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Golden Eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bonelli's Eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
