"LOCALITY.ID","group.id","month","timegroups"
"L8916603","S54220612",3,"before 2000"
"L8916574","S54219222",3,"before 2000"
"L1131607","S53605738",4,"before 2000"
"L946706","S24531276",4,"before 2000"
"L946706","S22396018",4,"before 2000"
"L946706","S22982600",4,"before 2000"
"L946706","S22984904",4,"before 2000"
"L13467302","S89331466",6,"before 2000"
"L13467301","S89331465",6,"before 2000"
"L946706","S24787930",6,"before 2000"
"L946706","S22985197",6,"before 2000"
"L946706","S24787877",6,"before 2000"
"L946706","S22985121",6,"before 2000"
"L15181001","S89335317",10,"before 2000"
"L15181001","S89335319",10,"before 2000"
"L15181001","S89335318",10,"before 2000"
"L2870192","S24124457",12,"before 2000"
"L3546559","S22740994",12,"before 2000"
"L8916116","S54216855",2,"before 2000"
"L10608476","S89409453",2,"before 2000"
"L946706","S297489148",2,"before 2000"
"L946706","S95283979",2,"before 2000"
"L946220","S95283799",2,"before 2000"
"L946706","S296910942",3,"before 2000"
"L946706","S34011630",3,"before 2000"
"L946706","S296270269",3,"before 2000"
"L946706","S118009770",3,"before 2000"
"L946220","S297248670",3,"before 2000"
"L5714675","S297300977",3,"before 2000"
"L946220","S296862548",3,"before 2000"
"L3122603","S56890991",4,"before 2000"
"L946706","S26670722",5,"before 2000"
"L946706","S22995904",5,"before 2000"
"L946706","S24605501",5,"before 2000"
"L946706","S26670578",5,"before 2000"
"L946706","S24736810",6,"before 2000"
"L946706","S24735988",6,"before 2000"
"L946706","S22997048",6,"before 2000"
"L946706","S22997089",6,"before 2000"
"L946220","S181752743",6,"before 2000"
"L15178344","S89323616",7,"before 2000"
"L15178344","S89323982",7,"before 2000"
"L967212","S89322328",7,"before 2000"
"L3143406","S20464313",7,"before 2000"
"L3146501","S20472917",7,"before 2000"
"L3146501","S20472922",7,"before 2000"
"L2742480","G11818970",9,"before 2000"
"L13467294","S89331454",1,"before 2000"
"L13467289","S89331450",1,"before 2000"
"L13467289","S89331449",1,"before 2000"
"L2372505","S95580148",1,"before 2000"
"L1016606","S197656218",1,"before 2000"
"L921959","S30945956",1,"before 2000"
"L946706","S95580151",1,"before 2000"
"L946706","S197544179",1,"before 2000"
"L946706","S95580153",1,"before 2000"
"L932559","S197698549",1,"before 2000"
"L987622","S48472342",1,"before 2000"
"L2527665","S279827827",2,"before 2000"
"L946706","S286213417",2,"before 2000"
"L4696975","G6749888",3,"before 2000"
"L967184","S23260416",3,"before 2000"
"L13248876","S187617198",3,"before 2000"
"L946706","S187075974",3,"before 2000"
"L946706","S187613173",3,"before 2000"
"L946706","S287746090",3,"before 2000"
"L4886118","S188200800",3,"before 2000"
"L4886118","S188201122",3,"before 2000"
"L987622","S30947685",3,"before 2000"
"L946706","S33076596",4,"before 2000"
"L3204730","G1550763",5,"before 2000"
"L946706","S209193423",12,"before 2000"
"L2517486","S58757102",1,"before 2000"
"L2517486","S58757101",1,"before 2000"
"L2742480","S293038379",1,"before 2000"
"L1875577","S12542446",1,"before 2000"
"L1875577","S12542339",1,"before 2000"
"L1875577","S12543275",1,"before 2000"
"L1875577","S12543243",1,"before 2000"
"L946706","S76185016",2,"before 2000"
"L946706","S76161577",2,"before 2000"
"L946706","S76163295",2,"before 2000"
"L946706","S76183913",2,"before 2000"
"L2503495","S76227080",2,"before 2000"
"L932559","S76194426",2,"before 2000"
"L932559","S76197166",2,"before 2000"
"L932559","S76190015",2,"before 2000"
"L932559","S76223248",2,"before 2000"
"L3204730","S76241161",3,"before 2000"
"L3204730","S76277781",3,"before 2000"
"L3204730","S76243758",3,"before 2000"
"L3204730","S76273711",3,"before 2000"
"L3204730","S76273977",3,"before 2000"
"L946706","S76317888",3,"before 2000"
"L946706","S76304993",3,"before 2000"
"L946706","S76303718",3,"before 2000"
"L946220","S76318233",3,"before 2000"
"L946220","S76318667",3,"before 2000"
"L946220","S76318412",3,"before 2000"
"L946220","S76318136",3,"before 2000"
"L946220","S76318751",3,"before 2000"
"L2503495","S76228388",3,"before 2000"
"L2503495","S76234256",3,"before 2000"
"L2503495","S76230834",3,"before 2000"
"L11280957","S74554220",4,"before 2000"
"L11280957","S74554124",4,"before 2000"
"L3595173","S23091469",5,"before 2000"
"L3595025","S23090913",5,"before 2000"
"L4887449","S31314617",7,"before 2000"
"L946706","S332784741",10,"before 2000"
"L946706","S64322040",10,"before 2000"
"L3231340","S48589530",10,"before 2000"
"L946706","G7959174",11,"before 2000"
"L946706","G7959175",11,"before 2000"
"L3204730","G8001119",12,"before 2000"
"L3204730","G8001115",12,"before 2000"
"L3204730","G8001114",12,"before 2000"
"L3923181","G8001120",12,"before 2000"
"L3923181","G8001121",12,"before 2000"
"L3093304","G8001122",12,"before 2000"
"L946706","G7959173",12,"before 2000"
"L946706","G7959172",12,"before 2000"
"L946706","S315848439",12,"before 2000"
"L946706","G8001130",12,"before 2000"
"L2503495","G8001116",12,"before 2000"
"L2503495","G8001117",12,"before 2000"
"L2503495","G8001118",12,"before 2000"
"L15293924","S299667073",1,"before 2000"
"L15293924","S299666350",1,"before 2000"
"L2386799","S48500628",1,"before 2000"
"L3204730","G8021437",1,"before 2000"
"L3204730","G8021436",1,"before 2000"
"L3204730","G8021435",1,"before 2000"
"L946706","S124681366",1,"before 2000"
"L946706","S201808219",1,"before 2000"
"L7820735","G8057081",2,"before 2000"
"L976256","S132917247",2,"before 2000"
"L2743097","S94758360",2,"before 2000"
"L946706","S94747325",2,"before 2000"
"L946706","S40210488",2,"before 2000"
"L9564806","S57830063",4,"before 2000"
"L9564806","S57830092",4,"before 2000"
"L17056970","S98612826",7,"before 2000"
"L921959","S89331460",7,"before 2000"
