"gridg0","group.id","month","timegroups"
"346054","S89634503",7,"before 2000"
"346054","S89634603",7,"before 2000"
"347351","S89633060",7,"before 2000"
"334973","S89632399",7,"before 2000"
"334972","S278094557",7,"before 2000"
"294658","S24658475",11,"before 2000"
"294658","S222338589",1,"before 2000"
"294658","S222941430",1,"before 2000"
"294658","S221820149",1,"before 2000"
"329788","S24445688",1,"before 2000"
"206760","S89462473",3,"before 2000"
"292297","S24502199",4,"before 2000"
"277735","S56891140",5,"before 2000"
"394038","S181633916",6,"before 2000"
"395353","S181733689",6,"before 2000"
"395353","S24503909",6,"before 2000"
"224526","S16910315",6,"before 2000"
"224526","S181546555",6,"before 2000"
"394038","S24453277",7,"before 2000"
"294658","S50019109",11,"before 2000"
"294658","S53604937",11,"before 2000"
"294658","S53604342",11,"before 2000"
"329788","S55101691",11,"before 2000"
"329788","S55101734",11,"before 2000"
"329788","S55101651",11,"before 2000"
"294658","S142024676",12,"before 2000"
"294658","S55100405",12,"before 2000"
"294658","S141906926",12,"before 2000"
"67858","S23239591",12,"before 2000"
"336918","S56891128",12,"before 2000"
"288513","S92747786",1,"before 2000"
"287209","S92747782",1,"before 2000"
"287209","S92747777",1,"before 2000"
"287211","S92747280",1,"before 2000"
"184327","S39902525",1,"before 2000"
"294658","S20473210",1,"before 2000"
"292297","S41812169",1,"before 2000"
"294658","S191347080",2,"before 2000"
"294658","S190367034",2,"before 2000"
"294658","S184527572",2,"before 2000"
"294658","S184529924",2,"before 2000"
"294658","S184525981",2,"before 2000"
"99715","G1364984",3,"before 2000"
"224525","S184688321",3,"before 2000"
"224525","S184689401",3,"before 2000"
"205460","S89517750",4,"before 2000"
"205460","S89469717",4,"before 2000"
"205460","S89469120",4,"before 2000"
"207409","S89518116",4,"before 2000"
"87309","S32473962",6,"before 2000"
"71038","S181741749",6,"before 2000"
"394038","S287818360",8,"before 2000"
"394038","S287811618",8,"before 2000"
"395353","S253459572",8,"before 2000"
"294658","S48123070",12,"before 2000"
"294658","S58993449",1,"before 2000"
"294658","S58971421",1,"before 2000"
"294658","S58932091",1,"before 2000"
"294658","S59014913",1,"before 2000"
"294658","S58943525",1,"before 2000"
"294658","S59023848",1,"before 2000"
"294658","S58987250",1,"before 2000"
"294658","S58757095",1,"before 2000"
"294658","S26701281",1,"before 2000"
"71038","S24457658",2,"before 2000"
"294658","S23297655",2,"before 2000"
"294658","S23301406",2,"before 2000"
"294658","S77947475",2,"before 2000"
"294658","S22631086",2,"before 2000"
"69086","S24589347",2,"before 2000"
"329788","S78244768",2,"before 2000"
"294658","S21663790",3,"before 2000"
"294658","S21673273",3,"before 2000"
"294658","S21671331",3,"before 2000"
"294658","S21662667",3,"before 2000"
"294658","S22655745",3,"before 2000"
"294658","S22631274",3,"before 2000"
"294658","S22646497",3,"before 2000"
"294658","S22657181",3,"before 2000"
"294658","S21673405",4,"before 2000"
"294658","S21673733",4,"before 2000"
"294658","S22715775",4,"before 2000"
"294658","S20736579",4,"before 2000"
"294658","S22715036",4,"before 2000"
"294658","S22715285",4,"before 2000"
"208056","S181696415",5,"before 2000"
"40500","S181740482",5,"before 2000"
"395373","S51961630",5,"before 2000"
"294658","S21686884",5,"before 2000"
"294658","S21675230",5,"before 2000"
"294658","S21688166",5,"before 2000"
"294658","S21687953",5,"before 2000"
"294658","S21676986",5,"before 2000"
"294658","S22723221",5,"before 2000"
"294658","S22719892",5,"before 2000"
"294658","S22721006",5,"before 2000"
"294658","S22720497",5,"before 2000"
"294658","S21698761",6,"before 2000"
"294658","S21688379",6,"before 2000"
"294658","S22735303",6,"before 2000"
"294658","S21701030",6,"before 2000"
"294658","S22724667",6,"before 2000"
"294658","S27313093",6,"before 2000"
