"eBird.English.Name.2025","eBird.Scientific.Name.2025","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Avilist.English.Name","Avilist.Scientific.Name","Avibase.ID","Selected.NRL","Generation.Length","No.of.Subspecies","Percent.of.Global.Range","India.Checklist.Sortorder","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","proj2031.lci","proj2031.mean","proj2031.rci","proj2032.lci","proj2032.mean","proj2032.rci","proj2033.lci","proj2033.mean","proj2033.rci","proj2034.lci","proj2034.mean","proj2034.rci","rangelci","rangemean","rangerci"
"Great Snipe","Gallinago media","gresni1","Charadriiformes","Scolopacidae (Sandpipers and Allies)",NA,NA,NA,NA,"24 hour","24 hour","Invertebrate","No","No","No","Non-endemic","Wetland","Uncertain",NA,1,NA,"Great Snipe","Gallinago media","Great Snipe","Gallinago media","Near Threatened","Schedule-II","","Appendix II",NA,"Great Snipe","Gallinago media","avibase-BCCD5840",NA,3.84,1,NA,254,"","","",1,1,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Swinhoe's Snipe","Gallinago megala","swisni1","Charadriiformes","Scolopacidae (Sandpipers and Allies)",NA,NA,NA,NA,"24 hour","24 hour","Invertebrate","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Swinhoe's Snipe","Gallinago megala","Swinhoe's Snipe","Gallinago megala","Least Concern","Schedule-II","","Appendix II",1000,"Swinhoe's Snipe","Gallinago megala","avibase-9E66B47A",1,3.2,1,0.032459034,255,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pin-tailed Snipe","Gallinago stenura","pitsni","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Moderate","Moderate Decline","Uncertain","Moderate","24 hour","24 hour","Invertebrate","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Pin-tailed Snipe","Gallinago stenura","Pin-tailed Snipe","Gallinago stenura","Least Concern","Schedule-II","","Appendix II",10000,"Pin-tailed Snipe","Gallinago stenura","avibase-EE61E2CA",1,3.18,1,0.153532044,256,"","","",153,0.0980392156862745,0.344771241830065,0.431372549019608,18.1699346405229,1.07651579232586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259233,259784,260335
"Common Snipe","Gallinago gallinago","comsni","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Low","Stable","Uncertain","Large","24 hour","24 hour","Invertebrate","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Common Snipe","Gallinago gallinago","Common Snipe","Gallinago gallinago","Least Concern","Schedule-II","","Appendix II",10000,"Common Snipe","Gallinago gallinago","avibase-9151E0BA",1,4.26,1,0.04828859,257,"","","",283,0.088339222614841,0.340106007067138,0.498233215547703,16.339222614841,0.785976843112009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,807412,807412,807412
"Red Phalarope","Phalaropus fulicarius","redpha1","Charadriiformes","Scolopacidae (Sandpipers and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Wetland","Passage Migrant",NA,1,NA,"Red Phalarope","Phalaropus fulicarius","Red Phalarope","Phalaropus fulicarius","Least Concern","Schedule-II","","Appendix II",NA,"Red Phalarope","Phalaropus fulicarius","avibase-18A19380",1,5.4,1,NA,258,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-necked Phalarope","Phalaropus lobatus","renpha","Charadriiformes","Scolopacidae (Sandpipers and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Red-necked Phalarope","Phalaropus lobatus","Red-necked Phalarope","Phalaropus lobatus","Least Concern","Schedule-II","","Appendix II",NA,"Red-necked Phalarope","Phalaropus lobatus","avibase-E6F3BA54",1,4.01,1,NA,259,"","","",1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Terek Sandpiper","Xenus cinereus","tersan","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Low","Data Deficient","Uncertain","Moderate","24 hour","24 hour","Invertebrate","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Terek Sandpiper","Xenus cinereus","Terek Sandpiper","Xenus cinereus","Least Concern","Schedule-II","","Appendix II",1000,"Terek Sandpiper","Xenus cinereus","avibase-6D5992EE",1,4.13,1,0.008257564,260,"","","",67,0.208955223880597,0.475746268656716,0.477611940298507,14.4029850746269,1.78268922997308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100651,100986,101321
"Common Sandpiper","Actitis hypoleucos","comsan","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Moderate","Moderate Decline","Strong Decline","Large","24 hour","24 hour","Omnivore","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Common Sandpiper","Actitis hypoleucos","Common Sandpiper","Actitis hypoleucos","Least Concern","Schedule-II","","Appendix II",710,"Common Sandpiper","Actitis hypoleucos","avibase-8548B07E",1,4.69,1,0.044992206,261,"","","",680,0.138235294117647,0.461948529411765,0.611764705882353,13.5176470588235,0.522494445401074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2262946,2263393,2263840
"Green Sandpiper","Tringa ochropus","grnsan","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Moderate","Moderate Decline","Uncertain","Very Large","24 hour","24 hour","Invertebrate","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Green Sandpiper","Tringa ochropus","Green Sandpiper","Tringa ochropus","Least Concern","Schedule-II","","Appendix II",1000,"Green Sandpiper","Tringa ochropus","avibase-A7B17EFC",1,5.84,1,0.062819989,262,"","","",536,0.139925373134328,0.407416044776119,0.546641791044776,14.9384328358209,0.569441407943973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2197912,2198419,2198926
"Gray-tailed Tattler","Tringa brevipes","gyttat1","Charadriiformes","Scolopacidae (Sandpipers and Allies)",NA,NA,NA,NA,"24 hour","24 hour","Invertebrate","No","No","No","Non-endemic","Wetland","Uncertain",NA,1,NA,"Grey-tailed Tattler","Tringa brevipes","Grey-tailed Tattler","Tringa brevipes","Least Concern","Schedule-II","","Appendix II",NA,"Grey-tailed Tattler","Tringa brevipes","avibase-29256A38",NA,4.6,1,0.006507006,263,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
