"LOCALITY.ID","LATITUDE","LONGITUDE"
"L8014113",27.5465942,93.8113472
"L4037067",19.1167865,74.7798157
"L6751717",6.2319441,94.3664217
"L7386462",23.2443172,69.6678448
"L11933822",11.664257,78.1453782
"L6755462",25.4475083,90.4285902
"L9448561",26.6365492,89.2911701
"L6521292",23.6679813,87.6246786
"L3373754",23.685403,87.6669073
"L4108632",23.3942181,86.974318
"L3176889",27.0334405,88.2583237
"L9936662",26.9126542,88.4041592
"L960468",22.558696,88.291111
"L6522545",24.1772454,88.2809401
"L6521262",22.6451745,87.3510504
"L11175691",22.8610431,87.3513221
"L11175709",22.5564967,87.1611018
"L11175715",22.6635468,87.7488449
"L5155825",23.1749879,87.9566288
"L10218160",23.4599194,88.3532473
"L2071440",22.5861383,88.4169173
"L11175776",22.8409198,88.6617168
"L11175769",22.6037159,88.6760973
"L3345789",22.7173619,88.4805323
"L11175798",22.7305843,88.5293896
"L3915579",22.0059826,88.8537512
"L4100784",23.3148176,86.0504568
"L4100804",23.338725,86.3599747
"L7820311",26.9723587,88.7005188
"L7476594",25.6583549,94.1021061
"L7820981",22.6066158,88.3953695
"L6755457",25.3,94.04
"L7820968",22.555247,88.412071
"L8136838",25.6872513,94.6321177
"L8902146",23.49,92.94
"L6755451",25.56,92.06
"L2961966",12.9808895,77.620039
"L7774385",22.5808292,88.4030892
"L2407941",12.8536944,77.5094716
"L7821363",27.207781,88.0162752
"L3831069",27.1051193,88.002185
"L9691669",25.4487902,91.7517494
"L7320110",22.6417385,93.0331397
"L8902148",22.74,93.05
"L7820996",22.2716869,88.8042399
"L3571664",22.5612324,88.43256
"L6755337",26.0509997,91.8704009
"L10352255",27.1758759,78.0125375
"L7777535",22.6295203,88.5870856
"L6140625",10.799297,76.6502595
"L8891095",8.01,77
"L8014195",27.3229105,93.9717492
"L8891084",16.05,73.45
"L8891080",8.02,73
"L5099363",10.5,75
"L7319349",8.05,72.83
"L7637897",22.5627133,88.3406568
"L15420032",22.5726452,88.3638916
"L5099334",9.5081114,76.4352536
"L3852561",20.2,85.8
"L10328267",12.9211666,80.1211486
"L10466035",28.6158996,77.1770904
"L10350447",12.4126887,76.7187321
"L921977",27.1747511,78.0421543
"L8902207",8.1323155,93.4903842
"L8902203",8.0864379,93.5842042
"L8902199",7.976477,93.5534344
"L4199766",9.5788939,77.1806878
"L4187636",30.4552589,78.102622
"L8891082",13,74
"L8891059",13.32,74.7
"L7820949",22.5017868,88.3998417
"L6652313",30.2057484,78.1271696
"L12969712",24.9851802,87.9790813
"L7177794",20.392322,78.1288433
"L3046619",30.4209963,78.2459164
"L3881982",30.4013151,78.0948299
"L11586723",30.4482697,78.0956801
"L4900490",21.399061,77.333771
"L13198168",20.947301,76.1996813
"L9156379",31.014161,75.712953
"L5279726",11.1115221,77.0210719
"L12511932",11.1125805,77.0127418
"L12532546",11.4119347,76.6584018
"L11480014",30.4428087,78.2136998
"L11587110",32.2525316,77.2334182
"L7777758",21.633016,88.0763412
"L12881477",21.5604151,88.2693314
"L10831819",26.4795621,80.3176117
"L6140481",10.1610903,77.102558
"L3848581",23.03,72.58
"L12300935",10.092721,78.78677
"L11282286",25.0078883,79.4784396
"L5685266",23.1725,80.0147222
"L11587355",30.4980821,78.1525025
"L12550790",11.1141976,76.9762545
"L2060259",28.4107284,78.3654785
"L12550953",11.0176259,76.9498978
"L4466619",27.175063,78.042187
"L4466650",25.338484,82.981576
"L4466670",22.557585,88.361689
"L5550839",31.5310921,76.6210842
"L12563857",11.016771,76.948284
"L12550987",11.017828,76.8973661
"L12563882",11.016771,76.948284
"L12550379",11.0042933,76.9829693
"L12551008",11.0565383,76.9935083
"L12563899",10.998951,76.978555
"L12563941",11.354255,76.796344
"L4466608",29.492804,78.1981087
"L1330940",30.1082685,78.3125144
"L4466558",30.109637,78.312151
"L1330915",34.0743269,77.6151581
"L3335635",17.9235361,73.6566782
"L4466545",30.068444,78.287394
"L7999546",16.3559786,80.8750955
"L12550301",11.0027985,76.9695572
"L12563793",12.99954,80.228863
"L12550349",11.0382504,76.8605537
"L12550317",11.4218079,76.8442178
"L2872496",11.3571024,76.8002701
"L12550393",11.0075987,76.9159592
"L12563813",10.984203,77.223257
"L12563826",10.995542,77.285287
"L12550708",11.0120145,76.8271449
"L12563908",11.016771,76.948284
"L8391476",23.1861781,88.7620854
"L4937684",16.3072368,80.4348135
"L922334",17.721259,83.3370709
"L1108506",34.0819955,74.8401976
"L1353133",18.5316219,73.8614233
"L3970243",27.6563385,77.7332765
"L4023990",22.6482347,88.4429026
"L4836352",18.9222973,72.8341343
"L3848596",19,72.9
"L4258106",12.8543351,76.484558
"L9263562",25.7068929,85.2211189
"L4484480",28.6128755,77.2305313
"L946706",27.1788819,77.5170422
"L12784102",22.6437467,88.4386847
"L921984",27.1797142,78.0216837
"L4819043",27.6359258,77.5579968
"L12202829",9.7401892,78.7650114
"L6474751",27.5655319,77.7089167
"L9270548",26.4327126,90.8674236
"L9271105",26.6046443,93.391943
"L9263854",25.7770632,87.4751455
"L12288804",9.5899384,78.6931371
"L12231183",9.3678697,78.8257136
"L12202831",9.7419229,78.7626385
"L9263697",26.7603109,83.3728194
"L9270184",26.517635,89.2034073
"L9265885",26.6839307,88.3505051
"L9265682",26.8798948,88.3031273
"L9265187",27.0044031,88.260407
"L9264132",26.7263659,88.3953311
"L9270349",26.4220714,89.8249835
"L4871916",26.685077,91.0147801
"L5556104",26.1484424,91.7410011
"L9274034",25.9683134,92.5569202
"L4052987",25.5841547,91.8902055
"L9274274",25.2707359,91.730265
"L9282826",21.0574124,86.4960286
"L9282964",19.6883655,85.1842651
"L9283116",19.7435381,85.2113423
"L12240176",9.546511,78.696645
"L9282649",22.5731394,88.3629056
"L9298567",25.5942383,85.1378301
"L9298680",28.6564531,77.2322727
"L9297222",18.9416522,72.8238611
"L2080385",19.2133939,72.9081917
"L2961995",18.7448255,73.3904445
"L12320926",9.3699375,78.8155425
"L12321073",9.3678273,78.8257136
"L12208460",9.3598761,78.8437119
"L12335582",9.370007,78.795044
"L12208452",9.1753208,78.2857967
"L12328388",11.1388744,79.0566782
"L12328369",12.6729725,79.9624582
"L12252934",9.3598879,78.8569035
"L1108461",34.1200937,74.8618591
"L12328593",10.8343594,76.8363403
"L12329160",10.8670245,76.6142244
"L12328498",11.0680058,76.939474
"L12328549",10.6894709,76.9036441
"L12335590",12.198576,78.862749
"L12329266",9.2867184,79.3028783
"L12343199",9.365689,78.831085
"L10313359",33.6114,75.4359
"L12253096",9.9178296,78.0527829
"L12252887",9.5451808,78.5664455
"L12337025",9.2273943,78.7833931
"L5410231",28.6824651,77.2166187
"L10317203",33.5847,75.3048
"L10317184",33.3643,75.266
"L12280892",9.2491364,78.8411147
"L10213384",9.4782292,78.8978341
"L12337530",9.3271204,79.0206365
"L10637549",28.6258725,77.1882076
"L12350213",9.360361,78.860622
"L12216542",9.2829116,78.8227359
"L11499693",32.9028215,74.7629284
"L12350653",9.3601398,78.8546797
"L3035047",18.9933103,73.2709551
"L961164",18.8932799,73.1133847
"L12190481",9.323563,78.859341
"L12289359",9.3678273,78.8257136
"L10197279",9.3925762,78.8538567
"L4258191",19.0254356,72.8536946
"L12202833",9.3479213,78.4752399
"L3147939",9.3429165,78.8304663
"L12294668",9.9403922,78.0083487
"L4258202",19.1586113,72.9072046
"L2265071",28.595167,77.221334
"L12905966",28.629369,77.2118946
"L2040822",28.5576869,77.0879745
"L9852045",33.9877087,75.3170836
"L12905908",34.0689772,74.7972775
"L2742480",34.0563799,74.3892384
"L6167446",27.341084,77.3662806
"L922556",28.6021943,77.2478342
"L3035298",28.4135971,77.273283
"L1038276",28.4638333,76.8893809
"L4005855",8.7664031,77.1095274
"L10186641",9.4080688,78.813752
"L12300780",9.5461174,78.9037978
"L12301636",9.451452,78.6872942
"L4427306",15.6064216,73.8799238
"L5584638",15.5049049,73.9104252
"L2747557",15.5002093,73.8400126
"L5584641",15.5494566,73.7535381
"L2637916",15.4706387,73.8062918
"L2285878",15.5756484,73.9389753
"L2471788",15.2889309,73.9136536
"L6181099",19.0982953,72.8260919
"L16688582",18.8527199,73.1049089
"L932559",11.5562885,76.5326071
"L12307062",9.3829556,78.8028809
"L12307024",9.2673516,78.8894533
"L12301999",9.3164195,78.7352897
"L12225119",9.2814953,79.1353913
"L12301694",9.5453718,78.6891729
"L10383200",9.3871131,78.8797344
"L12301906",9.305304,78.963703
"L12307053",9.210406,78.7023441
"L12252972",9.2760358,79.2038897
"L12307068",8.4954858,78.1138502
"L12307066",8.7766073,78.0759767
"L2527837",28.6557024,77.2415257
"L5667088",9.9417138,78.1506443
"L5584671",11.4062474,76.693325
"L12197198",9.7079784,78.945871
"L10627227",23.0684,72.5122
"L946220",26.0129781,76.5032959
"L12197797",9.7419229,78.7626385
"L12204568",9.3678697,78.8257136
"L12204460",9.3585664,78.8566889
"L12204161",9.7419441,78.7626385
"L5816981",30.4591801,78.0663586
"L4257909",18.7745079,73.4087455
"L12217286",9.3678697,78.8257136
"L12225419",9.2473916,78.6356735
"L3955150",11.6720743,76.6179228
"L2514984",9.576376,77.1803284
"L3527567",10.5308512,76.372683
"L3852589",21.4,73
"L3849049",23.25167,69.66256
"L15305005",23.2636522,69.7062211
"L5196418",31.6473555,74.852578
"L12241171",9.2491417,78.8411147
"L15209109",23.2484995,69.6993891
"L8189292",31.4222147,77.5782294
"L8189382",31.4827052,77.5808472
"L8189453",31.5733988,77.5217099
"L8189505",31.6168525,77.4458356
"L12252953",9.720002,78.42026
"L12797329",28.6068937,77.2458364
"L3035057",28.5565938,77.1936107
"L12797286",28.5544777,77.2097146
"L1933560",20.886015,74.7272873
"L2110688",19.1207603,72.9023552
"L8547791",19.1283628,72.8964114
"L12803881",18.5169287,73.8350961
"L12253218",9.8500128,78.4701256
"L12797494",26.2696956,82.0858548
"L1332848",19.0520582,72.8630018
"L4296270",19.1318716,72.9444012
"L2745852",18.9633311,72.9360771
"L11432853",27.21424,77.5047197
"L3147937",9.3796286,78.794589
"L10186038",9.371926,78.8245519
"L1406204",25.3220322,74.642028
"L1406240",24.8892887,74.6310437
"L1403219",24.5249867,73.7411491
"L10203740",9.2514683,78.8344807
"L15303513",23.3082573,69.7583664
"L3849111",23.25167,69.66256
"L2387806",27.9461655,73.0514216
"L4070135",28.0001831,73.3535242
"L4208929",30.4589412,78.0681181
"L4282107",22.3857142,73.1253004
"L2612302",12.0527511,76.1153412
"L4074630",10.1366709,77.0573607
"L1108473",34.0178835,75.3189343
"L2590954",34.0654132,74.4243204
"L2593851",34.057714,74.3877411
"L2595993",34.3008393,75.2941132
"L2592349",34.2764534,75.0095261
"L2590920",34.290808,75.2700342
"L2596140",34.08075,74.7966385
"L12288163",10.9516691,78.4386745
"L9087319",10.8878556,78.5792017
"L12570833",10.955077,78.44447
"L12288112",10.954768,78.444254
"L12570437",10.971845,78.404415
"L12577990",11.160591,78.550421
"L11168953",22.6520764,88.4462929
"L4282118",19.079072,72.9187918
"L12578016",10.93075,78.462731
"L12578378",10.974949,78.382386
"L4284955",28.6354588,77.2250891
"L3849048",23.25167,69.66256
"L3567079",32.249417,77.19075
"L3053856",32.3872903,77.2619629
"L10851566",27.2032666,77.507
"L3225079",28.5415406,77.2388546
"L15221175",23.2509343,69.6637174
"L7907350",13.2134402,75.9941654
"L2934062",12.4238897,76.3343811
"L9921904",9.9714923,76.2794065
"L7544925",13.0802583,80.2876568
"L2931786",12.6118842,80.19629
"L2755118",11.4186585,76.7109237
"L2521902",11.3149592,76.7460251
"L5381079",11.5801289,76.5826511
"L7540731",17.3840104,78.3970428
"L7534286",18.7890644,78.9247298
"L7536291",18.9687397,78.3410436
"L6609526",26.4508845,74.6408987
"L2528936",26.4874365,74.5541239
"L7545225",13.0524396,80.2519298
"L1076228",12.5457666,79.8555422
"L5396818",22.5259365,88.3701611
"L921959",27.3418655,76.4336979
"L4218094",31.409379,76.4344221
"L12609728",11.1943,79.5987
"L12603666",10.956527,78.421299
"L12609521",10.985208,78.437224
"L12609598",10.8807205,78.6904268
"L12609986",10.889851,78.666348
"L7476087",28.5282956,77.2081697
"L13069727",28.5899696,77.1855285
"L3642944",18.47594,73.861083
"L3849059",23.2413461,69.6224213
"L4888712",23.311991,69.6253395
"L15085276",23.2523523,69.661379
"L2596260",32.2165104,76.3165283
"L2157236",32.2595558,76.3041687
"L1091154",32.2416989,76.3204765
"L3849043",23.25167,69.66256
"L4284983",18.9959479,73.1121469
"L4284981",18.8951617,73.0685019
"L15283436",23.5017815,69.6619725
"L3547695",23.142491,69.9094874
"L3779309",23.3825671,69.7049284
"L15033877",23.1885339,69.7287723
"L967186",20.1539415,79.4091797
"L1016606",22.2954497,80.5957031
"L4285012",28.4403176,74.4912958
"L14979449",23.4577965,69.3419622
"L15315600",23.4110359,69.2839252
"L3849110",23.35122,69.2598
"L4978847",23.4322216,69.3810654
"L3849050",23.25167,69.66256
"L3646676",18.508027,73.83866
"L4285037",21.0113651,70.2124643
"L4326772",23.0326629,69.4545364
"L10608476",22.7521,72.0483
"L2372505",22.7923445,72.0231432
"L12963973",19.0011723,72.8114295
"L12964007",19.0912263,72.8277628
"L12963922",19.1036365,72.8872166
"L1190942",19.127856,72.913599
"L12964031",18.8023113,77.5427668
"L3166421",19.5696138,73.2831001
"L13470138",28.5940744,77.1950267
"L3849058",23.2552257,69.6169281
"L12694023",27.1972042,77.4959161
"L6342704",28.53683,77.206378
"L3849039",22.83317,69.34637
"L4229484",28.4567692,76.8918085
"L4079048",27.3682646,76.3987809
"L6344900",27.3279594,76.4123583
"L4324203",23.3669198,69.7094536
"L3940487",34.1155954,74.8314106
"L3955129",25.2834288,83.0083716
"L3849046",23.25167,69.66256
"L4288515",26.9661418,75.1042986
"L7625545",23.1811778,69.6670774
"L4324155",23.0460113,70.0571537
"L10723056",23.4294652,69.4897271
"L5151995",13.0100079,77.6898569
"L7279945",34.0528416,77.7017975
"L4853870",34.056858,77.6667966
"L976256",26.6437764,93.3982086
"L4324226",26.820574,94.160492
"L3403854",26.1426607,91.6929245
"L8396836",28.6633445,77.2485245
"L8397690",28.6725535,77.1995544
"L8397013",28.6502418,77.2375453
"L8397134",28.5968098,77.2679705
"L8397346",28.6067438,77.2453988
"L8397266",28.5932333,77.2506327
"L8397053",28.5995448,77.2336927
"L1062323",15.4418498,74.1061735
"L3188080",15.5483626,73.7542677
"L3801875",22.1530046,71.3183975
"L2350674",25.4930666,91.9006348
"L2353220",25.9312653,91.8795858
"L2375652",27.033676,88.2643318
"L12174921",26.6847539,88.325361
"L1408471",26.8792778,88.2776153
"L8397978",28.7153087,77.2278145
"L8398182",28.6406566,77.2494221
"L7213949",28.6155692,77.1785259
"L8398108",28.5931134,77.2196603
"L8397753",28.5143298,77.2600651
"L15304157",23.1824215,70.7226279
"L15303857",22.1598852,71.3326766
"L8416270",26.887378,88.2905102
"L8415398",26.9997487,88.2838443
"L8415284",27.0588965,88.2544827
"L2566831",26.8015113,88.3401632
"L8415077",27.0442313,88.2626862
"L8415013",26.6850929,88.4474513
"L8398475",22.5370158,88.331666
"L8413923",22.517987,88.3020868
"L8413403",22.5084586,88.3464128
"L8414923",22.5582383,88.3527619
"L8398770",22.5647837,88.4184865
"L8401074",22.4656671,88.1674482
"L3702982",22.4917655,88.3427811
"L8398887",22.4884606,88.3749783
"L8419728",25.6204003,85.1394081
"L8419681",25.600915,85.1616302
"L8025403",25.532871,85.26818
"L8435410",28.6719275,77.2283721
"L8435531",28.7375404,77.2298858
"L8422991",28.616859,77.1825928
"L5616663",23.262165,69.7697067
"L8820030",32.7249333,74.8577324
"L8820421",33.1209396,75.3218391
"L3932049",34.075919,74.8477131
"L8436323",28.5593107,77.310236
"L3922053",26.8454005,80.9547973
"L8420288",26.8454494,80.9518036
"L2678036",26.7383582,91.0190249
"L14835986",23.7459119,69.7287856
"L3849035",22.92,69.69
"L2830854",8.9611074,77.0688343
"L2830855",8.9567608,77.0627403
"L3935362",12.0107575,75.2005255
"L2831253",8.5677275,77.1437216
"L2708330",8.5166632,77.0063657
"L2831204",8.5141457,76.989044
"L2830943",8.5126641,76.9540626
"L3810673",23.1869375,69.8994023
"L15303554",22.8394214,69.2228418
"L2831809",8.5064713,76.8891692
"L2833413",8.5182905,77.0018917
"L2831791",8.535374,77.0126796
"L3849103",22.83925,69.72108
