"","sl","COMMON.NAME","timegroupsf","timegroups","freq","se"
"112",15,"Red Junglefowl","2022",2022,-3.11918697557503,0.104546545540921
"113",16,"Red Junglefowl","before 2000",1992,-3.36524998963356,0.11187495617687
"114",16,"Red Junglefowl","2000-2006",2003,-3.39615138811986,0.0734175641912423
"115",16,"Red Junglefowl","2007-2010",2009,-3.47361623286511,0.0706701651500108
"116",16,"Red Junglefowl","2011-2012",2012,-3.17661543638262,0.0749569618492602
"117",16,"Red Junglefowl","2013",2013,-3.13937038877776,0.103911080645364
"118",16,"Red Junglefowl","2014",2014,-3.4780455129023,0.0734600280467911
"119",16,"Red Junglefowl","2015",2015,-3.42775478680268,0.0719138881766944
"120",16,"Red Junglefowl","2016",2016,-3.18585307596913,0.102718623430995
"121",16,"Red Junglefowl","2017",2017,-3.51984109659041,0.109200951177664
"122",16,"Red Junglefowl","2018",2018,-3.43907383591224,0.0931992245735801
"123",16,"Red Junglefowl","2019",2019,-3.11139879700021,0.108082278654762
"124",16,"Red Junglefowl","2020",2020,-3.28573171318668,0.0721275966035652
"125",16,"Red Junglefowl","2021",2021,-3.34247182643004,0.0866600795508098
"126",16,"Red Junglefowl","2022",2022,-3.66686520266369,0.0775798960049476
"127",17,"Red Junglefowl","before 2000",1992,-3.35043233649557,0.122092981480891
"128",17,"Red Junglefowl","2000-2006",2003,-3.18754087514913,0.0988748231631188
"129",17,"Red Junglefowl","2007-2010",2009,-3.29163011452019,0.0689356838381184
"130",17,"Red Junglefowl","2011-2012",2012,-3.42818737823659,0.0734419191877201
"131",17,"Red Junglefowl","2013",2013,-3.48030776140914,0.0668125300610696
"132",17,"Red Junglefowl","2014",2014,-3.46961109878947,0.0782896044248403
"133",17,"Red Junglefowl","2015",2015,-3.51789739895474,0.114775602122828
"134",17,"Red Junglefowl","2016",2016,-3.34331577378351,0.0869427059608068
"135",17,"Red Junglefowl","2017",2017,-3.43551980300891,0.0975234137230273
"136",17,"Red Junglefowl","2018",2018,-3.1349287202829,0.109735885468288
"137",17,"Red Junglefowl","2019",2019,-3.67327988063824,0.0783255541734332
"138",17,"Red Junglefowl","2020",2020,-3.11627221760296,0.0998425088210424
"139",17,"Red Junglefowl","2021",2021,-3.18140211404118,0.0695502248284322
"140",17,"Red Junglefowl","2022",2022,-3.39810794362351,0.070162971514386
"141",18,"Red Junglefowl","before 2000",1992,-3.36035478909956,0.105874871606637
