"","sl","COMMON.NAME","timegroupsf","timegroups","freq","se"
"61400",317,"Greater Racket-tailed Drongo","2018",2018,-3.25130139194409,0.0822130937015911
"61401",317,"Greater Racket-tailed Drongo","2019",2019,-3.20477350611537,0.0776534135970343
"61402",317,"Greater Racket-tailed Drongo","2020",2020,-3.31251415530854,0.0741060835538125
"61403",317,"Greater Racket-tailed Drongo","2021",2021,-3.33021346759995,0.077145915420664
"61404",317,"Greater Racket-tailed Drongo","2022",2022,-3.34606296063822,0.088620550905276
"61405",317,"Black-crested Bulbul","before 2000",1992,-3.14915456228284,0.174416444457286
"61406",317,"Black-crested Bulbul","2000-2006",2003,-3.11206137557298,0.143764690608668
"61407",317,"Black-crested Bulbul","2007-2010",2009,-2.71996100742285,0.171152079515179
"61408",317,"Black-crested Bulbul","2011-2012",2012,-2.88687353784391,0.154059002964662
"61409",317,"Black-crested Bulbul","2013",2013,-2.80606793279521,0.126334049580531
"61410",317,"Black-crested Bulbul","2014",2014,-2.87261061528713,0.118517022411911
"61411",317,"Black-crested Bulbul","2015",2015,-2.71707253778521,0.148706049788412
"61412",317,"Black-crested Bulbul","2016",2016,-2.89169899463246,0.126070985837903
"61413",317,"Black-crested Bulbul","2017",2017,-3.08239996583759,0.164803119096385
"61414",317,"Black-crested Bulbul","2018",2018,-2.66863369203928,0.123548523178635
"61415",317,"Black-crested Bulbul","2019",2019,-2.81753008184474,0.126261878112048
"61416",317,"Black-crested Bulbul","2020",2020,-2.85525663568946,0.140535252339168
"61417",317,"Black-crested Bulbul","2021",2021,-2.73197648197272,0.128123966153724
"61418",317,"Black-crested Bulbul","2022",2022,-3.10400320428029,0.145575974543234
"61419",317,"Common Chiffchaff","before 2000",1992,-4.29461021361378,0.319047766716202
"61420",317,"Common Chiffchaff","2000-2006",2003,-4.57361860955883,0.293003893509028
"61421",317,"Common Chiffchaff","2007-2010",2009,-4.49471177220133,0.317979432638144
"61422",317,"Common Chiffchaff","2011-2012",2012,-4.39291415894118,0.305644889389733
"61423",317,"Common Chiffchaff","2013",2013,-4.45783507658901,0.291649496361931
"61424",317,"Common Chiffchaff","2014",2014,-4.57259540017172,0.289756453480847
"61425",317,"Common Chiffchaff","2015",2015,-4.48308067506546,0.303234603344362
"61426",317,"Common Chiffchaff","2016",2016,-4.43867399208556,0.297266884026674
"61427",317,"Common Chiffchaff","2017",2017,-4.37381514488431,0.321851727792995
"61428",317,"Common Chiffchaff","2018",2018,-4.57004271490096,0.293252547341483
"61429",317,"Common Chiffchaff","2019",2019,-4.57853433192822,0.285431568879497
"61430",317,"Common Chiffchaff","2020",2020,-4.38981114433445,0.291686273056918
"61431",317,"Common Chiffchaff","2021",2021,-4.55329477449642,0.294780866720164
"61432",317,"Common Chiffchaff","2022",2022,-4.3987217901177,0.325497830677035
"61433",317,"Black-throated Thrush","before 2000",1992,-3.3215568500113,0.177945597777001
"61434",317,"Black-throated Thrush","2000-2006",2003,-6.11716794209359,0.253808745373187
"61435",317,"Black-throated Thrush","2007-2010",2009,-3.94274409230475,0.186397387175476
"61436",317,"Black-throated Thrush","2011-2012",2012,-3.28636433352003,0.173640870360417
"61437",317,"Black-throated Thrush","2013",2013,-3.42979967745098,0.139329821501502
"61438",317,"Black-throated Thrush","2014",2014,-3.64974537613777,0.133088299115529
"61439",317,"Black-throated Thrush","2015",2015,-5.48211605637092,0.226581197545135
"61440",317,"Black-throated Thrush","2016",2016,-5.37265223638126,0.16180907135866
"61441",317,"Black-throated Thrush","2017",2017,-4.26570649915664,0.247173294981751
"61442",317,"Black-throated Thrush","2018",2018,-4.59237442662244,0.139252424362724
"61443",317,"Black-throated Thrush","2019",2019,-4.77819412970709,0.142755264250571
"61444",317,"Black-throated Thrush","2020",2020,-3.37670081383884,0.138056825109417
"61445",317,"Black-throated Thrush","2021",2021,-4.58052384970835,0.156622414173601
"61446",317,"Black-throated Thrush","2022",2022,-5.3556934557748,0.288085831230952
"61447",317,"Malabar Whistling-Thrush","before 2000",1992,-4.056744226386,0.145235437321328
"61448",317,"Malabar Whistling-Thrush","2000-2006",2003,-4.30161629438324,0.121662735818157
"61449",317,"Malabar Whistling-Thrush","2007-2010",2009,-3.98067659066474,0.145575585972736
"61450",317,"Malabar Whistling-Thrush","2011-2012",2012,-4.51689042094971,0.143538434055025
"61451",317,"Malabar Whistling-Thrush","2013",2013,-4.26744783364516,0.112179085904565
"61452",317,"Malabar Whistling-Thrush","2014",2014,-4.30145539721855,0.124319681324357
"61453",317,"Malabar Whistling-Thrush","2015",2015,-4.35730710696418,0.131045521998209
"61454",317,"Malabar Whistling-Thrush","2016",2016,-4.29029655689231,0.128835076722058
"61455",317,"Malabar Whistling-Thrush","2017",2017,-3.96144014489576,0.135434035249165
"61456",317,"Malabar Whistling-Thrush","2018",2018,-4.41573529369262,0.121563950385462
"61457",317,"Malabar Whistling-Thrush","2019",2019,-4.35207280053953,0.11966476891146
"61458",317,"Malabar Whistling-Thrush","2020",2020,-4.41154033510965,0.127457551022753
"61459",317,"Malabar Whistling-Thrush","2021",2021,-4.21676012609634,0.123123020157353
"61460",317,"Malabar Whistling-Thrush","2022",2022,-4.31457040419059,0.148912017129055
"61461",317,"Streaked Spiderhunter","before 2000",1992,-3.22443979153926,0.204551770540801
